"IDCAL";"FOODNAME";"CALORIE";"PROTEIN";"FATS";"CARBHDRT";"CALCIUM";"PHOSPHOR";"IRON";"VITA";"VITB1";"VITC";"amount";"FWEIGHT";"added";"ISACTIVE"
190;"Saridele bubuk";344.0;30.0;20.0;43.0;450.0;500.0;4.0;2000.0;0.7;10.0;100.0;100;"admin";1
191;"Susu kedele";41.0;3.5;2.5;5.0;50.0;45.0;1.0;200.0;0.08;2.0;100.0;100;"admin";1
192;"Tahu";68.0;7.8;4.6;1.6;124.0;63.0;1.0;0.0;0.06;0.0;100.0;100;"admin";1
193;"Tahu (DKBM P3G '90)";80.0;10.9;4.7;0.8;223.0;183.0;2.4;0.0;0.01;0.0;100.0;100;"admin";1
194;"Taokoa (DKBM P3G '90)";148.0;13.8;8.5;4.0;140.0;214.0;8.5;0.0;0.02;0.0;100.0;100;"admin";1
195;"Taokoa";104.0;12.9;6.8;1.2;153.0;119.0;2.0;0.0;0.05;0.0;100.0;100;"admin";1
196;"Tauco";166.0;10.4;4.9;24.1;55.0;365.0;1.0;23.0;0.05;0.0;100.0;100;"admin";1
197;"Tempe gembus";73.0;5.7;1.3;10.3;204.0;80.0;1.5;0.0;0.09;0.0;100.0;100;"admin";1
198;"Tempe gembus yogya";76.0;8.6;0.7;10.6;76.0;142.0;16.5;0.0;0.79;0.0;100.0;100;"admin";1
199;"Tempe gembus(puslitbang)";73.0;5.7;1.3;10.3;204.0;80.0;1.5;0.0;0.09;0.0;100.0;100;"admin";1
200;"Tempe kedelai dan jagung";143.0;12.0;5.5;11.4;155.0;156.0;6.8;0.0;0.33;0.0;100.0;100;"admin";1
201;"Tempe kedelai murni";201.0;20.8;8.8;13.5;155.0;326.0;4.0;0.0;0.19;0.0;100.0;100;"admin";1
202;"Tempe kedelai pasar";150.0;14.0;7.7;9.1;517.0;202.0;1.5;0.0;0.17;0.0;100.0;100;"admin";1
203;"Tempe kedele murni";149.0;18.3;4.0;12.7;129.0;154.0;10.0;50.0;0.17;0.0;100.0;100;"admin";1
204;"Tempe koro benguk";141.0;10.2;1.3;23.2;42.0;15.0;3.0;0.0;0.09;0.0;100.0;100;"admin";1
205;"Tempe lamtoro";142.0;11.0;2.5;20.4;42.0;15.0;3.0;30.0;0.19;0.0;100.0;100;"admin";1
206;"Tepung hunkwee (pati kac. ijo)";364.0;4.5;1.0;83.5;50.0;100.0;1.0;0.0;0.0;0.0;100.0;100;"admin";1
207;"Tepung kacang kedele";347.0;35.9;20.6;29.9;195.0;554.0;8.0;140.0;0.77;0.0;100.0;100;"admin";1
208;"Angsa";354.0;16.4;31.5;0.0;15.0;188.0;2.0;900.0;0.1;0.0;60.0;100;"admin";0
209;"Ayam";302.0;18.2;25.0;0.0;14.0;200.0;2.0;810.0;0.08;0.0;58.0;100;"admin";1
210;"Babat";113.0;17.6;4.2;0.0;12.0;144.0;1.0;0.0;0.15;0.0;100.0;100;"admin";1
211;"Bebek ( itik )";326.0;16.0;28.6;0.0;15.0;188.0;2.0;900.0;0.1;0.0;60.0;100;"admin";1
212;"Daging anak sapi";190.0;19.1;12.0;0.0;11.0;193.0;3.0;40.0;0.14;0.0;100.0;100;"admin";1
213;"Daging babi gemuk";457.0;11.9;45.0;0.0;7.0;117.0;2.0;0.0;0.58;0.0;100.0;100;"admin";1
214;"Daging babi kurus";376.0;14.1;35.0;0.0;8.0;151.0;2.0;0.0;0.67;0.0;100.0;100;"admin";1
215;"Daging domba";206.0;17.1;14.8;0.0;10.0;191.0;3.0;0.0;0.15;0.0;100.0;100;"admin";1
216;"Daging kambing";154.0;16.6;9.2;0.0;11.0;124.0;1.0;0.0;0.09;0.0;100.0;100;"admin";1
217;"Daging kerbau";84.0;18.7;0.5;0.0;7.0;151.0;2.0;0.0;0.02;0.0;100.0;100;"admin";1
218;"Daging kuda";118.0;18.1;4.1;0.9;10.0;150.0;3.0;0.0;0.07;0.0;100.0;100;"admin";1
219;"Daging sapi";207.0;18.8;14.0;0.0;11.0;170.0;3.0;30.0;0.08;0.0;100.0;100;"admin";1
220;"Dideh (darah ayam)";77.0;13.8;1.9;0.7;15.0;9.0;1.0;50.0;0.02;0.0;100.0;100;"admin";1
221;"Dideh (darah sapi)";104.0;21.9;1.1;0.0;7.0;24.0;1.0;50.0;0.0;0.0;100.0;100;"admin";1
222;"Ginjal babi";114.0;16.3;4.6;0.8;11.0;246.0;8.0;130.0;0.58;13.0;100.0;100;"admin";1
223;"Ginjal domba";105.0;16.6;3.3;1.0;13.0;237.0;9.0;1150.0;0.51;13.0;100.0;100;"admin";1
224;"Ginjal sapi";141.0;15.0;8.1;0.9;9.0;221.0;8.0;1150.0;0.37;13.0;100.0;100;"admin";1
225;"Ham";389.0;16.9;35.0;0.3;10.0;136.0;3.0;0.0;0.7;0.0;100.0;100;"admin";1
226;"Hati babi";134.0;19.7;4.8;1.7;10.0;362.0;18.0;14200.0;0.4;23.0;100.0;100;"admin";1
227;"Hati sapi";136.0;19.7;3.2;6.0;7.0;358.0;7.0;43900.0;0.26;31.0;100.0;100;"admin";1
228;"Lemak babi (bacon)";630.0;9.1;65.0;1.1;13.0;108.0;0.0;0.0;0.38;0.0;100.0;100;"admin";1
229;"Otak";125.0;10.4;8.6;0.8;16.0;330.0;4.0;0.0;0.23;18.0;100.0;100;"admin";1
230;"Usus sapi";130.0;14.0;7.2;1.5;14.0;115.0;4.0;200.0;0.08;0.0;100.0;100;"admin";1
231;"Daging asap";191.0;32.0;6.0;0.0;15.0;300.0;5.0;20.0;0.12;0.0;100.0;100;"admin";1
232;"Daging kornet  ( corned beef )";241.0;16.0;25.0;0.0;10.0;170.0;4.0;0.0;0.01;0.0;100.0;100;"admin";1
233;"Dendeng daging sapi";433.0;55.0;9.0;0.0;30.0;370.0;5.0;0.0;0.1;0.0;100.0;100;"admin";1
234;"Kerupuk kulit kerbau";422.0;83.0;4.0;0.0;5.0;10.0;0.0;0.0;0.0;0.0;100.0;100;"admin";1
235;"Sarang burung";281.0;37.5;0.3;32.1;485.0;18.0;3.0;0.0;0.0;0.0;100.0;100;"admin";1
236;"Sosis daging ( wosrt )";452.0;14.5;42.3;2.3;28.0;61.0;1.0;0.0;0.1;0.0;100.0;100;"admin";1
237;"Sosis hati ( leverwosrt )";387.0;16.0;22.0;3.0;20.0;150.0;4.0;4000.0;0.2;0.0;100.0;100;"admin";1
238;"Telur ayam";162.0;12.8;11.5;0.7;54.0;180.0;3.0;900.0;0.1;0.0;90.0;100;"admin";1
239;"Telur ayam bagian kuning";361.0;16.3;31.9;0.7;147.0;586.0;7.0;2000.0;0.27;0.0;100.0;100;"admin";1
240;"Telur ayam bagian putih";50.0;10.8;0.0;0.8;6.0;17.0;0.0;0.0;0.0;0.0;100.0;100;"admin";1
241;"Telur ayam lokal";196.0;13.0;15.3;0.8;67.0;334.0;3.3;213.0;0.31;0.0;87.0;100;"admin";1
242;"Telur ayam ras";154.0;12.4;10.8;0.7;86.0;258.0;3.0;200.0;0.12;0.0;89.0;100;"admin";1
243;"Telur bebek (DKBM P3G '90)";202.0;12.5;16.4;0.0;100.0;347.0;5.5;233.0;0.3;0.0;90.0;100;"admin";1
244;"Telur bebek (telur itik)";189.0;13.1;14.3;0.8;56.0;175.0;3.0;1230.0;0.18;0.0;90.0;100;"admin";1
245;"Telur bebek bagian kuning";398.0;17.0;35.0;0.8;150.0;400.0;7.0;2870.0;0.6;0.0;100.0;100;"admin";1
246;"Telur bebek bagian putih";54.0;11.0;0.0;0.8;21.0;20.0;0.0;0.0;0.01;0.0;100.0;100;"admin";1
247;"Telur bebek diasin";195.0;13.6;13.6;1.4;120.0;157.0;2.0;841.0;0.28;0.0;83.0;100;"admin";1
248;"Telur penyu";144.0;12.0;10.2;0.0;84.0;193.0;1.0;600.0;0.11;0.0;90.0;100;"admin";1
249;"Telur terubuk";425.0;31.0;28.0;10.0;50.0;100.0;2.0;600.0;0.1;0.0;100.0;100;"admin";1
250;"Bader (tawes)";198.0;19.0;13.0;0.0;48.0;150.0;0.0;150.0;0.1;0.0;80.0;100;"admin";1
251;"Balong (ikan air tawar)";107.0;16.5;3.9;1.5;54.0;202.0;2.0;82.0;0.05;0.0;100.0;100;"admin";1
252;"Bambangan";112.0;20.0;1.3;3.7;98.0;120.0;3.0;0.0;0.07;0.0;36.0;100;"admin";1
253;"Bandeng";129.0;20.0;4.8;0.0;20.0;150.0;2.0;150.0;0.05;0.0;80.0;100;"admin";1
254;"Banjar";111.0;19.4;0.9;4.8;68.0;278.0;7.3;0.0;0.03;0.0;96.0;100;"admin";1
255;"Bawal";96.0;19.0;1.7;0.0;20.0;150.0;2.0;150.0;0.05;0.0;80.0;100;"admin";1
256;"Bekasang";138.0;14.0;0.7;7.4;40.0;80.0;2.0;100.0;0.05;0.0;100.0;100;"admin";1
257;"Belida";120.0;16.5;5.3;0.4;52.0;216.0;1.1;233.0;0.1;0.0;60.0;100;"admin";1
258;"Belut air laut";93.0;12.8;1.5;6.1;60.0;199.0;3.0;171.0;0.06;0.0;100.0;100;"admin";1
259;"Belut air tawar";82.0;6.7;1.0;10.9;390.0;533.0;1.3;0.0;0.0;0.0;100.0;100;"admin";1
260;"Beunteur";66.0;14.0;0.0;0.0;40.0;150.0;2.0;150.0;0.02;0.0;80.0;100;"admin";1
261;"Cue selar kuning";145.0;27.0;3.3;0.0;50.0;100.0;2.0;150.0;0.1;0.0;90.0;100;"admin";1
262;"Cumi-cumi";75.0;16.1;0.7;0.1;32.0;200.0;1.8;0.0;0.08;0.0;100.0;100;"admin";1
263;"Cumi-cumi segar";75.0;16.1;0.7;0.0;32.0;200.0;1.8;0.0;0.08;0.0;100.0;100;"admin";1
264;"Ekor kuning";109.0;17.0;4.0;0.0;500.0;500.0;1.0;150.0;0.05;0.0;80.0;100;"admin";1
265;"Gabus";77.0;12.4;1.0;3.7;90.0;192.0;2.5;0.0;0.02;0.0;62.0;100;"admin";1
266;"Gabus segar";74.0;25.2;1.7;0.0;62.0;176.0;1.0;150.0;0.04;0.0;64.0;100;"admin";1
267;"Hiu";57.0;10.7;0.3;2.2;75.0;206.0;2.0;0.0;0.05;0.0;65.0;100;"admin";1
268;"Ikan hiu";89.0;20.1;0.3;0.0;25.0;208.0;1.0;150.0;0.01;0.0;49.0;100;"admin";1
269;"Ikan Layang";109.0;22.0;1.7;0.0;50.0;150.0;2.0;150.0;0.05;0.0;80.0;100;"admin";1
270;"Ikan balong";107.0;16.5;3.9;1.5;254.0;202.0;2.0;82.0;0.05;0.0;47.0;100;"admin";1
271;"Ikan mas";86.0;16.0;2.0;0.0;20.0;150.0;2.0;150.0;0.05;0.0;80.0;100;"admin";1
272;"Ikan mujair segar";89.0;18.7;1.0;0.0;96.0;209.0;1.5;20.0;0.03;0.0;80.0;100;"admin";1
273;"Ikan segar";113.0;17.0;4.5;0.0;20.0;200.0;1.0;150.0;0.05;0.0;80.0;100;"admin";1
274;"Kacangan";77.0;15.6;0.9;1.6;94.0;170.0;1.7;60.0;0.07;0.0;64.0;100;"admin";1
275;"Kakap";92.0;20.0;0.7;0.0;20.0;200.0;1.0;30.0;0.05;0.0;80.0;100;"admin";1
276;"Kembung";103.0;22.0;1.0;0.0;20.0;200.0;1.0;30.0;0.05;0.0;80.0;100;"admin";1
277;"Keong";64.0;12.0;1.0;2.0;217.0;78.0;2.0;0.0;0.0;0.0;46.0;100;"admin";1
278;"Kepiting";151.0;13.8;3.8;14.1;210.0;250.0;1.0;200.0;0.05;0.0;45.0;100;"admin";1
279;"Kerang";59.0;8.0;1.1;3.6;133.0;170.0;3.0;300.0;0.01;0.0;20.0;100;"admin";1
280;"Kerang (DKBM P3G '90)";101.0;14.4;2.6;3.9;321.0;270.0;15.6;0.0;0.01;0.0;100.0;100;"admin";1
281;"Keru - keru";93.0;16.5;2.1;0.8;65.0;217.0;2.4;0.0;0.01;0.0;55.0;100;"admin";1
282;"Kodok";73.0;16.4;0.3;0.0;18.0;147.0;1.0;0.0;0.14;0.0;65.0;100;"admin";1
283;"Kura-kura";83.0;19.1;0.2;0.0;27.0;87.0;1.0;0.0;0.2;0.0;70.0;100;"admin";1
284;"Kuro";87.0;16.0;2.2;1.0;75.0;136.0;1.0;21.0;0.04;0.0;52.0;100;"admin";1
285;"Lais";161.0;11.9;11.5;2.4;70.0;237.0;0.0;0.0;0.05;0.0;62.0;100;"admin";1
286;"Layur";82.0;18.0;1.0;0.4;48.0;229.0;2.2;15.0;0.04;0.0;49.0;100;"admin";1
287;"Lemuru";112.0;20.0;3.0;0.0;20.0;100.0;1.0;100.0;0.05;0.0;80.0;100;"admin";1
288;"Lidah";104.0;15.6;3.2;2.0;30.0;143.0;2.0;110.0;0.03;0.0;48.0;100;"admin";1
289;"Mayong";97.0;17.9;2.0;0.4;40.0;100.0;2.5;68.0;0.1;0.0;89.0;100;"admin";1
290;"Mujahir";89.0;18.7;1.0;0.0;96.0;209.0;1.5;20.0;0.03;0.0;80.0;100;"admin";1
291;"Paling belut";303.0;14.0;27.0;0.0;20.0;200.0;1.0;1600.0;0.1;2.0;100.0;100;"admin";1
292;"Rusip";110.0;11.5;2.0;11.7;479.0;348.0;7.1;0.0;0.04;0.0;100.0;100;"admin";1
293;"Selar segar";100.0;18.8;2.2;0.0;40.0;179.0;1.0;150.0;0.37;0.0;48.0;100;"admin";1
294;"Seluang";361.0;10.0;3.2;5.3;80.0;224.0;4.7;86.0;0.03;0.0;89.0;100;"admin";1
295;"Sidat";81.0;11.4;1.9;3.8;118.0;174.0;3.0;51.0;0.0;0.0;100.0;100;"admin";1
296;"Tembang";204.0;16.0;15.0;0.0;20.0;200.0;2.0;100.0;0.05;0.0;80.0;100;"admin";1
297;"Teri";74.0;10.3;1.4;4.1;972.0;253.0;3.9;42.0;0.24;0.0;100.0;100;"admin";1
298;"Teri segar";77.0;16.0;1.0;0.0;500.0;500.0;1.0;150.0;0.05;0.0;100.0;100;"admin";1
299;"Udang segar";91.0;21.0;0.2;0.1;136.0;170.0;8.0;60.0;0.01;0.0;68.0;100;"admin";1
300;"Cakalang asin";198.0;36.5;2.2;5.5;236.0;346.0;3.7;0.0;0.06;0.0;70.0;100;"admin";1
301;"Calo . peda";81.0;11.4;1.9;3.8;743.0;174.0;22.6;51.0;0.0;0.0;100.0;100;"admin";1
302;"Dendeng ikan mujair";582.0;68.3;15.2;37.2;3258.0;1699.0;4.3;50.0;0.27;0.0;100.0;100;"admin";1
303;"Gabus kering";292.0;58.0;4.0;0.0;15.0;100.0;1.0;100.0;0.1;0.0;80.0;100;"admin";1
304;"Ikan asin kering";193.0;42.0;1.5;0.0;200.0;300.0;3.0;0.0;0.01;0.0;70.0;100;"admin";1
305;"Ikan tombo asin";162.0;31.7;2.8;0.3;279.0;609.0;4.6;0.0;0.09;0.0;70.0;100;"admin";1
306;"Kerang dendeng";357.0;41.1;10.0;25.6;217.0;904.0;5.2;0.0;0.27;0.0;100.0;100;"admin";1
307;"Kerupuk ikan dengan pati";342.0;16.0;0.4;65.6;2.0;20.0;0.0;0.0;0.0;0.0;100.0;100;"admin";1
308;"Kerupuk udang dengan pati";359.0;17.2;0.6;68.2;332.0;337.0;2.0;50.0;0.04;0.0;100.0;100;"admin";1
309;"Lais sale";415.0;61.3;17.6;2.9;258.0;919.0;7.0;0.0;0.03;0.0;100.0;100;"admin";1
310;"Mujahir dendeng";582.0;68.3;15.2;37.2;3258.0;1699.0;4.3;50.0;0.27;0.0;100.0;100;"admin";1
311;"Peda banjar";156.0;28.0;4.0;0.0;174.0;316.0;3.0;110.0;0.0;0.0;90.0;100;"admin";1
312;"Pepetek";176.0;32.0;4.4;0.0;120.0;200.0;1.0;50.0;0.5;0.0;100.0;100;"admin";1
313;"Petis ikan";161.0;20.0;0.2;24.0;37.0;36.0;3.0;0.0;0.0;0.0;100.0;100;"admin";1
314;"Petis udang";220.0;15.0;0.1;40.0;37.0;36.0;3.0;0.0;0.0;0.0;100.0;100;"admin";1
315;"Pindang banjar";157.0;28.0;4.2;0.0;50.0;100.0;1.0;150.0;0.1;0.0;90.0;100;"admin";1
316;"Pindang benggol";170.0;31.0;4.2;0.0;50.0;100.0;1.0;150.0;0.1;0.0;90.0;100;"admin";1
317;"Pindang layang";153.0;30.0;2.8;0.0;60.0;200.0;3.0;200.0;0.07;0.0;90.0;100;"admin";1
318;"Pindang selar kecil";142.0;27.0;3.0;0.0;60.0;200.0;3.0;200.0;0.07;0.0;90.0;100;"admin";1
319;"Rebon (udang kecil segar)";81.0;16.2;1.2;0.7;757.0;292.0;2.0;60.0;0.04;0.0;100.0;100;"admin";1
320;"Rebon kering";299.0;59.4;3.6;3.2;2306.0;265.0;21.0;0.0;0.06;0.0;100.0;100;"admin";1
321;"Sardencis dalam kaleng";338.0;21.1;27.0;1.0;354.0;434.0;4.0;250.0;0.1;0.0;100.0;100;"admin";1
322;"Selar kering";194.0;38.0;3.5;0.0;20.0;200.0;1.0;0.0;0.01;0.0;75.0;100;"admin";1
323;"Sepat kering";289.0;38.0;14.0;0.0;40.0;100.0;1.0;0.0;0.0;0.0;75.0;100;"admin";1
324;"Sunu asin";168.0;32.4;1.2;4.5;320.0;343.0;6.0;0.0;0.01;0.0;70.0;100;"admin";1
325;"Telur ikan";398.0;16.7;34.8;4.5;235.0;544.0;25.2;0.0;0.3;0.0;100.0;100;"admin";1
326;"Tepung ikan";316.0;60.1;6.5;22.4;3196.0;1976.0;16.6;1083.0;0.0;0.0;100.0;100;"admin";1
327;"Terasi";155.0;22.3;2.9;9.9;3812.0;726.0;0.0;0.0;0.24;0.0;100.0;100;"admin";1
328;"Terasi merah";174.0;30.0;3.5;3.5;100.0;250.0;3.0;0.0;0.0;0.0;100.0;100;"admin";1
329;"Teri bubuk";277.0;60.0;2.3;1.8;1209.0;1225.0;3.0;297.0;0.1;0.0;100.0;100;"admin";1
330;"Teri kering";170.0;33.4;3.0;0.0;1200.0;1500.0;4.0;210.0;0.15;0.0;100.0;100;"admin";1
331;"Teri kering sekali tawar";331.0;68.7;4.2;0.0;2381.0;1500.0;23.0;200.0;0.1;0.0;100.0;100;"admin";1
332;"Teri nasi kering";144.0;32.5;0.6;0.0;1000.0;1000.0;3.0;200.0;0.1;0.0;100.0;100;"admin";1
333;"Teri tepung";347.0;48.8;6.4;19.6;4608.0;1200.0;18.6;200.0;1.12;0.0;100.0;100;"admin";1
334;"Udang kering";259.0;62.4;2.3;1.8;1209.0;1225.0;6.0;210.0;0.14;0.0;90.0;100;"admin";1
335;"Andaliman";99.0;4.6;1.0;18.0;383.0;107.0;2.9;0.0;3.0;14.7;100.0;100;"admin";0
336;"Andewi";25.0;1.6;0.2;5.3;33.0;66.0;1.0;0.0;0.14;10.0;80.0;100;"admin";0
337;"Baligo";13.0;0.4;0.2;3.0;19.0;19.0;0.0;0.0;0.04;13.0;69.0;100;"admin";1
338;"Bayam";36.0;3.5;0.5;6.5;267.0;67.0;4.0;6090.0;0.08;80.0;71.0;100;"admin";1
339;"Bayam (DKBM P3G '90)";16.0;0.9;0.4;2.9;166.0;76.0;3.5;0.0;0.04;41.0;71.0;100;"admin";1
340;"Bayam merah";51.0;4.6;0.5;10.0;368.0;111.0;2.0;5800.0;0.08;80.0;71.0;100;"admin";1
341;"Bunga pepaya jantan";45.0;2.6;0.3;8.1;290.0;113.0;4.2;0.0;0.01;23.3;100.0;100;"admin";1
342;"Caisin";20.0;1.7;0.4;3.4;123.0;40.0;1.9;0.0;0.04;3.0;100.0;100;"admin";1
343;"Caisin (DKBM P3G '90)";20.0;1.7;0.4;3.4;123.0;40.0;1.9;0.0;0.04;3.0;79.0;100;"admin";1
344;"Daun bawang";29.0;1.8;0.7;5.2;55.0;39.0;7.0;1365.0;0.09;37.0;67.0;100;"admin";1
345;"Daun beluntas";42.0;1.8;0.5;9.4;256.0;49.0;6.0;3980.0;0.02;30.0;65.0;100;"admin";1
346;"Daun gandaria";60.0;3.1;0.3;14.0;40.0;45.0;5.0;600.0;0.0;61.0;65.0;100;"admin";1
347;"Daun jambu mete muda";73.0;4.6;0.5;16.2;33.0;64.0;9.0;2689.0;0.0;65.0;65.0;100;"admin";1
348;"Daun kacang panjang";34.0;4.1;0.4;5.8;134.0;145.0;6.0;5240.0;0.28;29.0;65.0;100;"admin";1
349;"Daun katuk";59.0;4.8;1.0;11.0;204.0;83.0;3.0;10370.0;0.1;99.99;40.0;100;"admin";1
350;"Daun kecipir";47.0;5.0;0.5;8.5;134.0;81.0;6.0;5240.0;0.28;29.0;70.0;100;"admin";1
351;"Daun kedondong";59.0;3.5;0.3;13.4;540.0;82.0;6.0;2900.0;0.06;29.0;65.0;100;"admin";1
352;"Daun kelor";82.0;6.7;1.7;14.3;440.0;70.0;7.0;11300.0;0.21;99.99;65.0;100;"admin";1
353;"Daun kemangi";43.0;5.5;0.3;7.5;35.0;106.0;1.0;1017.0;0.06;30.0;65.0;100;"admin";1
354;"Daun ketela rambat (ubi jalar)";47.0;2.8;0.4;10.4;79.0;66.0;10.0;6015.0;0.12;22.0;73.0;100;"admin";1
355;"Daun koro";23.0;3.0;0.3;3.7;134.0;81.0;6.0;5240.0;0.28;29.0;65.0;100;"admin";1
356;"Daun labu siam";60.0;4.0;0.4;4.7;58.0;70.0;3.0;2025.0;0.08;16.0;100.0;100;"admin";1
357;"Daun labu waluh";30.0;3.6;0.6;4.5;138.0;99.0;4.0;2750.0;0.14;36.0;70.0;100;"admin";1
358;"Daun leunca";45.0;4.7;0.5;8.1;210.0;80.0;6.0;1900.0;0.14;40.0;70.0;100;"admin";1
359;"Daun lobak";30.0;2.3;0.4;5.8;140.0;33.0;4.0;1000.0;0.07;99.99;70.0;100;"admin";1
360;"Daun lompong tales";40.0;3.0;0.8;7.4;76.0;59.0;1.0;2000.0;0.08;31.0;75.0;100;"admin";1
361;"Daun mangkokan";54.0;3.7;0.3;11.8;474.0;49.0;4.0;5450.0;0.06;83.0;80.0;100;"admin";1
362;"Daun melinjo";99.0;5.0;1.3;21.3;219.0;82.0;4.0;10000.0;0.09;99.99;88.0;100;"admin";1
363;"Daun oyong";22.0;1.0;0.1;5.3;21.0;44.0;2.0;1000.0;0.08;99.99;65.0;100;"admin";1
364;"Daun pakis";35.0;4.0;0.3;6.4;42.0;172.0;1.0;2881.0;0.0;30.0;70.0;100;"admin";1
365;"Daun pepaya";79.0;8.0;2.0;11.9;353.0;63.0;1.0;18250.0;0.15;99.99;71.0;100;"admin";1
366;"Daun pete cina";128.0;12.0;6.5;12.4;1500.0;100.0;3.0;17800.0;0.04;64.0;40.0;100;"admin";1
367;"Daun singkong";73.0;6.8;1.2;13.0;165.0;54.0;2.0;11000.0;0.12;99.99;87.0;100;"admin";1
368;"Daun singkong jenis ambon";131.0;12.7;1.2;25.2;165.0;54.0;4.0;13000.0;0.21;99.99;87.0;100;"admin";1
369;"Daun tales";71.0;4.1;2.1;12.3;302.0;47.0;8.0;10395.0;0.11;99.99;80.0;100;"admin";1
370;"Daun tespong";59.0;2.9;0.3;13.9;155.0;65.0;3.0;2500.0;0.05;21.0;60.0;100;"admin";1
371;"Eceng";18.0;1.0;0.2;3.8;80.0;45.0;4.0;1000.0;0.08;50.0;70.0;100;"admin";1
372;"Genjer";33.0;1.7;0.2;7.7;62.0;33.0;2.0;3800.0;0.07;54.0;70.0;100;"admin";1
373;"Kangkung";29.0;3.0;0.3;5.4;73.0;50.0;3.0;6300.0;0.07;32.0;70.0;100;"admin";1
374;"Kemangi";46.0;4.0;0.5;8.9;45.0;75.0;2.0;5000.0;0.08;50.0;80.0;100;"admin";1
375;"Krokot";21.0;1.7;0.4;3.8;103.0;39.0;4.0;2550.0;0.03;25.0;80.0;100;"admin";1
376;"Kucai";45.0;2.2;0.3;10.3;52.0;50.0;1.0;40.0;0.11;17.0;52.0;100;"admin";1
377;"Kucai muda (lokio)";42.0;3.8;0.6;7.8;76.0;91.0;3.0;500.0;0.11;39.0;100.0;100;"admin";1
378;"Pe-cai";23.0;1.8;0.3;4.5;179.0;39.0;7.0;3995.0;0.08;75.0;82.0;100;"admin";1
379;"Peterseli";50.0;3.7;1.0;9.0;193.0;84.0;4.0;8230.0;0.11;99.99;95.0;100;"admin";1
380;"Prei (daun bawang)";45.0;2.2;0.3;10.3;52.0;50.0;1.0;40.0;0.11;17.0;52.0;100;"admin";1
381;"Seledri";20.0;1.0;0.1;4.6;50.0;40.0;1.0;130.0;0.03;11.0;63.0;100;"admin";1
382;"Bawang bombay";45.0;1.4;0.2;10.3;32.0;44.0;1.0;50.0;0.03;9.0;94.0;100;"admin";1
383;"Bawang merah";39.0;1.5;0.3;0.2;36.0;40.0;1.0;0.0;0.03;2.0;90.0;100;"admin";1
384;"Bawang putih";95.0;4.5;0.2;23.1;42.0;134.0;1.0;0.0;0.22;15.0;88.0;100;"admin";1
385;"Bit";42.0;1.6;0.1;9.6;27.0;43.0;1.0;20.0;0.02;10.0;75.0;100;"admin";1
